,index,election_year,state_x,transaction_amt,totalspend_yr_st,spend_share,election_year_ds,party_simplified,candidatevotes,percentvote,writein_sum,totalvotes,writein_mean,won,region,battleground_bool,battleground_margin_avg_pct,shift_bool,shift_int,bellweather_bool,bellweather_pct,swing,democrat_lean_pct,percent_of_total_spend,spend_per_vote
451,451,2020,NH,108926.03,567138.98,19.20623231,11/1/20,REPUBLICAN,365654,45.3562595,0,806182,0,0,NORTHEAST,TRUE,4.19,TRUE,2,TRUE,71.43,FALSE,14.29,0.04,29.78937193
452,452,2020,NJ,6224674.71,6731152.41,92.47561682,11/1/20,DEMOCRAT,2608335,57.33419675,0,4549353,0,1,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,2.12,238.6455233
453,453,2020,NJ,7649.7,6731152.41,0.113646216,11/1/20,OTHER,57744,1.26927939,0,4549353,0,0,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,2.34,13.24761015
454,454,2020,NJ,498828,6731152.41,7.410736968,11/1/20,REPUBLICAN,1883274,41.39652386,0,4549353,0,0,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,0.04,26.48727695
455,455,2020,NV,139419.97,297927.24,46.79665075,11/1/20,DEMOCRAT,703486,50.05678196,0,1405376,0,1,ROCKY MOUNTAINS,TRUE,4.48,TRUE,2,TRUE,85.71,FALSE,71.43,2.12,19.81844273
456,456,2020,NV,1686.13,297927.24,0.56595362,11/1/20,OTHER,32000,2.276970718,1,1405376,0.333333333,0,ROCKY MOUNTAINS,TRUE,4.48,TRUE,2,TRUE,85.71,FALSE,71.43,8.8,5.269156249
457,457,2020,NV,156821.14,297927.24,52.63739563,11/1/20,REPUBLICAN,669890,47.66624732,0,1405376,0,0,ROCKY MOUNTAINS,TRUE,4.48,TRUE,2,TRUE,85.71,FALSE,71.43,0.04,23.40998373
458,458,2020,NY,754601394.8,755656429.4,99.86038171,11/1/20,DEMOCRAT,5230985,60.39188454,0,8661735,0,1,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,2.12,14425.60808
459,459,2020,NY,1023941.04,755656429.4,0.135503517,11/1/20,OTHER,185952,2.146821624,17,8661735,0.772727273,0,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,8.8,550.6480373
460,460,2020,NY,31093.56,755656429.4,0.004114775,11/1/20,REPUBLICAN,3244798,37.46129384,0,8661735,0,0,MIDATLANTIC,FALSE,20,FALSE,0,FALSE,50,FALSE,100,0.04,0.958258784
